Node,Province name,Long,Lat
285,Lai Châu,22.395653,103.474876
286,Lai Châu,21.955402,103.885327
287,Lai Châu,22.188229,103.749432
288,Lai Châu,22.546554,103.292397
289,Lai Châu,22.359649,103.249252
290,Lai Châu,22.14437,103.020644
291,Lai Châu,22.385833,102.801821
292,Lai Châu,22.295822,103.41602
293,Lâm Đồng,11.967327,108.427109
294,Lâm Đồng,11.520483,107.831846
295,Lâm Đồng,11.719373,108.377747
296,Lâm Đồng,11.782021,108.260137
297,Lâm Đồng,11.5119216,107.4925089
298,Lâm Đồng,11.590362,108.078601
299,Lâm Đồng,12.057883,108.171373
300,Lâm Đồng,11.760284,108.490717
301,Lâm Đồng,11.700652,107.736952
302,Lâm Đồng,11.967327,108.427109
303,Lạng Sơn,21.851189,106.751529
304,Lạng Sơn,21.957345,106.364127
305,Lạng Sơn,21.95006,106.630864
306,Lạng Sơn,21.92936,106.677439
307,Lạng Sơn,21.777624,106.907219
308,Lạng Sơn,21.899799,106.320748
309,Lạng Sơn,21.658863,106.577768
310,Lạng Sơn,21.623061,107.148254
311,Lạng Sơn,21.519816,106.359457
312,Lạng Sơn,22.249009,106.466686
313,Lạng Sơn,21.898218,106.564024
314,Lào Cai,22.508146,103.955086
315,Lào Cai,22.317167,104.129339
316,Lào Cai,22.340704,103.84076
317,Lào Cai,22.232205,104.476828
318,Lào Cai,22.090598,104.251996
319,Lào Cai,22.538358,104.291025
320,Lào Cai,22.54546,103.885011
321,Lào Cai,22.762411,104.123571
322,Lào Cai,22.690759,104.275212
323,Long An,10.526355,106.402785
324,Long An,10.790468,105.92234
325,Long An,10.811824,106.392667
326,Long An,10.600079,106.594211
327,Long An,10.583621,106.437383
328,Long An,10.641546,106.18155
329,Long An,10.451696,106.468035
330,Long An,10.890088,105.783841
331,Long An,10.897455,106.309329
332,Nam Định,20.412849,106.15858
333,Nam Định,20.198799,106.305206
334,Nam Định,20.3366948,106.0881203
335,Nam Định,20.2183004,106.1841099
336,Nghệ An,18.682666,105.663598
337,Nghệ An,19.263811,105.708498
338,Nghệ An,19.0458527,105.2640853
339,Nghệ An,19.551568,105.094597
340,Nghệ An,19.324289,105.418643
341,Nghệ An,18.691666,105.430748
342,Nghệ An,19.024262,105.438728
343,Nghệ An,19.308814,105.163507
344,Nghệ An,18.927108,105.095409
345,Nghệ An,19.67199,104.864879
346,Nghệ An,19.05336,104.87905
347,Nghệ An,19.25881,104.48726
348,Nghệ An,18.644687,105.675395
349,Nghệ An,19.394173,104.1576029
350,Nghệ An,18.80234,105.7165316
351,Nghệ An,18.792446,105.5408707
352,Nghệ An,19.010486,105.58873
353,Ninh Bình,20.250461,105.974142
354,Ninh Bình,20.34774,105.833547
355,Ninh Bình,20.096634,106.095821
356,Ninh Thuận,11.586665,108.993848
357,Ninh Thuận,11.5227973,108.9242107
358,Ninh Thuận,11.75623,108.790353
359,Phú Thọ,21.33832,105.374462
360,Phú Thọ,21.449068,105.1912
361,Phú Thọ,21.185273,105.244007
